id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
28307159,129038733,Queens,Ditmars Steinway,40.77658,-73.90344,Entire home/apt,3,12,1.21,1,0,100
35222567,259776956,Brooklyn,Canarsie,40.62903,-73.89761999999999,Private room,1,4,4.0,5,365,110
15325255,96098402,Manhattan,Midtown,40.75175,-73.97218000000001,Private room,3,8,0.24,12,365,269
9682862,50016613,Manhattan,Harlem,40.8241,-73.95259,Private room,3,1,0.03,1,0,100
9618477,38284667,Manhattan,East Village,40.72888,-73.98193,Entire home/apt,160,2,0.05,2,363,160
21503589,50332029,Manhattan,Harlem,40.82621,-73.94549,Entire home/apt,1,139,6.9,1,41,95
249618,1307773,Manhattan,Washington Heights,40.85099,-73.92822,Private room,60,4,0.06,1,364,125
4285876,22248783,Manhattan,Lower East Side,40.71281,-73.99174000000001,Entire home/apt,1,16,0.28,1,0,140
14168413,18981759,Manhattan,Murray Hill,40.74702,-73.97563000000001,Private room,1,11,0.31,1,0,100
24367577,3074904,Brooklyn,Clinton Hill,40.6844,-73.96221,Entire home/apt,2,10,0.77,4,12,190
1961937,3899946,Manhattan,Harlem,40.8233,-73.95591,Entire home/apt,5,8,0.12,1,0,120
12962482,21262993,Brooklyn,Bushwick,40.70267,-73.92383000000001,Private room,1,2,0.05,1,0,45
34900746,253361623,Manhattan,Midtown,40.75671,-73.96228,Shared room,1,2,1.25,1,67,150
19531901,7936109,Manhattan,Upper West Side,40.77468,-73.98184,Entire home/apt,2,5,0.2,1,0,180
8845289,46322064,Manhattan,Harlem,40.81147,-73.9471,Entire home/apt,3,58,1.33,1,188,290
4645170,22827111,Manhattan,Hell's Kitchen,40.76025,-73.99555,Private room,4,59,1.06,2,286,89
31883514,237336458,Manhattan,Chelsea,40.73697,-73.99563,Private room,12,3,0.6,4,19,99
20016975,55939980,Manhattan,Midtown,40.75685,-73.96388,Entire home/apt,2,4,0.22,1,0,210
9713594,11575335,Brooklyn,Crown Heights,40.677620000000005,-73.95764,Private room,2,9,0.21,1,342,95
6867325,13667779,Manhattan,Harlem,40.82443,-73.93843000000001,Private room,2,27,0.55,2,345,40
20387815,41047066,Manhattan,Harlem,40.81629,-73.94131,Entire home/apt,2,24,1.45,1,55,71
22147426,161742462,Manhattan,Harlem,40.80814,-73.94238,Entire home/apt,6,40,2.35,1,293,249
24234359,2560891,Brooklyn,Fort Greene,40.69613,-73.97117,Entire home/apt,7,6,0.45,1,19,95
16807550,26420701,Brooklyn,Greenpoint,40.72601,-73.95501999999999,Private room,2,1,0.07,1,0,55
10958668,4269459,Brooklyn,Crown Heights,40.67734,-73.96076,Private room,1,2,0.05,1,0,35
24377683,21410546,Manhattan,Chelsea,40.737,-73.99407,Private room,2,4,0.27,1,0,85
23820538,28373054,Brooklyn,Williamsburg,40.71201,-73.95881999999999,Entire home/apt,3,14,0.98,1,167,600
2974433,2363988,Brooklyn,Williamsburg,40.70775,-73.94214000000001,Private room,5,2,0.07,1,0,100
13805038,8539684,Brooklyn,Williamsburg,40.70875,-73.9467,Entire home/apt,4,10,0.27,1,0,250
27697402,21020951,Brooklyn,Bedford-Stuyvesant,40.69321,-73.93686,Private room,2,2,0.97,5,342,86
22176062,5853457,Brooklyn,Borough Park,40.64061,-73.99631,Private room,1,12,0.81,4,321,56
11672849,57694481,Manhattan,Upper West Side,40.7783,-73.98807,Entire home/apt,12,13,0.37,1,34,172
2727766,4992804,Manhattan,East Harlem,40.79121,-73.94793,Private room,2,1,0.02,1,0,75
20390763,145391611,Manhattan,Harlem,40.82744,-73.94707,Private room,2,86,4.01,1,97,50
20085006,142590597,Brooklyn,East New York,40.67296,-73.87435,Entire home/apt,1,7,0.38,6,177,249
8276961,43645608,Manhattan,Hell's Kitchen,40.76128,-73.99616999999999,Entire home/apt,2,39,0.86,1,37,189
1244117,6781477,Brooklyn,Bedford-Stuyvesant,40.69324,-73.93217,Entire home/apt,1,153,2.21,1,1,125
19744503,138003310,Queens,Richmond Hill,40.70008,-73.83344,Private room,7,53,2.24,1,335,60
16119492,44802851,Brooklyn,Williamsburg,40.71603,-73.96426,Entire home/apt,4,63,2.02,1,1,180
12679291,44530717,Manhattan,Hell's Kitchen,40.75965,-73.99035,Entire home/apt,6,1,0.03,1,0,224
6090,11975,Manhattan,West Village,40.7353,-74.00525,Entire home/apt,90,27,0.22,1,0,120
21566909,4058709,Brooklyn,Park Slope,40.67497,-73.97913,Entire home/apt,5,41,2.22,2,219,235
27160493,107245546,Manhattan,Chelsea,40.74756,-73.99072,Private room,2,5,3.0,3,93,165
2012424,275744,Manhattan,Midtown,40.76542,-73.98080999999999,Entire home/apt,2,4,0.12,1,0,175
5861303,30432695,Manhattan,Lower East Side,40.71832,-73.98325,Entire home/apt,7,11,0.22,1,20,125
3743048,19143974,Staten Island,St. George,40.64408,-74.07834,Private room,3,93,2.1,1,279,58
1046443,5760970,Queens,Ditmars Steinway,40.77117,-73.90427,Private room,1,16,0.68,2,364,200
19603055,25959120,Manhattan,East Harlem,40.78668,-73.94247,Private room,2,2,0.08,1,0,85
18271282,126311719,Manhattan,SoHo,40.7239,-73.99678,Entire home/apt,30,7,0.26,1,365,850
1018529,5606448,Brooklyn,Greenpoint,40.72031,-73.9483,Entire home/apt,30,71,0.94,1,273,249
9521704,14391637,Manhattan,East Village,40.72286,-73.9834,Entire home/apt,1,3,0.07,1,0,200
24454304,141765510,Queens,Astoria,40.76343,-73.92248000000001,Shared room,4,3,0.22,1,0,110
7004408,21641864,Manhattan,SoHo,40.72745,-74.0027,Entire home/apt,6,61,1.27,1,275,190
5113910,10125456,Brooklyn,Red Hook,40.674040000000005,-74.01021,Entire home/apt,5,51,0.95,1,8,115
11667910,60500199,Manhattan,Harlem,40.807970000000005,-73.94243,Entire home/apt,3,71,1.76,1,331,205
27546295,190921808,Manhattan,Hell's Kitchen,40.75412,-73.99651,Private room,7,1,0.65,47,360,55
25005877,108160091,Brooklyn,Williamsburg,40.70996,-73.96129,Entire home/apt,10,3,0.22,3,284,168
32822356,222476614,Manhattan,Kips Bay,40.74434,-73.97758,Shared room,2,2,0.59,3,297,53
6226327,29167335,Manhattan,Midtown,40.75531,-73.96600000000001,Entire home/apt,4,51,1.03,2,317,182
20185035,133773191,Brooklyn,Greenpoint,40.72677,-73.94578,Private room,2,153,6.59,1,14,43
34247102,11522108,Brooklyn,Park Slope,40.67428,-73.97559,Entire home/apt,3,4,2.73,1,130,150
34061159,255219640,Brooklyn,Brighton Beach,40.57865,-73.96983,Private room,2,1,1.0,1,100,75
15430782,14016646,Manhattan,Greenwich Village,40.72962,-73.99932,Private room,5,18,0.56,1,0,100
8759876,45595980,Manhattan,Upper East Side,40.76942,-73.96614,Entire home/apt,30,5,0.15,12,0,140
146754,709434,Brooklyn,Windsor Terrace,40.65749,-73.97675,Entire home/apt,4,52,0.72,1,188,250
33172249,231138233,Manhattan,East Harlem,40.78878,-73.94838,Entire home/apt,1,23,6.83,5,102,165
16392514,107382521,Manhattan,Theater District,40.75725,-73.98796,Private room,1,36,1.18,1,0,100
35034543,263880607,Manhattan,Hell's Kitchen,40.76424,-73.98916,Shared room,1,8,6.32,7,357,69
19885344,19608476,Manhattan,Washington Heights,40.83495,-73.94406,Private room,4,34,1.41,1,31,87
23609407,176591085,Manhattan,Washington Heights,40.84389,-73.94126999999999,Private room,1,1,0.07,4,90,45
25357219,75435800,Manhattan,Midtown,40.75523,-73.96367,Private room,3,7,0.53,2,0,109
25607226,190482413,Manhattan,East Village,40.72873,-73.98759,Entire home/apt,2,32,3.06,1,139,398
9370896,46638648,Brooklyn,Bedford-Stuyvesant,40.68503,-73.93809,Entire home/apt,29,12,0.31,1,339,140
19527028,6835700,Brooklyn,Prospect Heights,40.67649,-73.96499,Private room,2,28,4.35,1,82,80
34035571,457147,Brooklyn,Williamsburg,40.71191,-73.95598000000001,Private room,7,2,1.58,1,324,75
17231011,116056294,Queens,Rego Park,40.73048,-73.85331,Private room,1,34,1.17,1,347,50
6344926,14898658,Brooklyn,Kensington,40.64423,-73.98224,Private room,30,43,0.87,11,99,40
609559,3647,Queens,Elmhurst,40.73587,-73.88279,Entire home/apt,3,48,0.58,2,301,99
10524365,48705078,Manhattan,Hell's Kitchen,40.76165,-73.99061999999999,Entire home/apt,2,136,3.45,1,253,180
24856606,175019394,Queens,Jamaica,40.67228,-73.77804,Private room,1,81,5.73,6,85,70
2400010,1177497,Brooklyn,Clinton Hill,40.69045,-73.96762,Private room,1,16,0.28,11,363,239
6458979,26408268,Brooklyn,Williamsburg,40.71161,-73.95957,Entire home/apt,4,9,0.25,1,10,395
1828063,9339714,Manhattan,East Village,40.72982,-73.98532,Entire home/apt,2,53,0.79,2,0,175
12431649,51501835,Manhattan,Hell's Kitchen,40.76306,-73.99257,Entire home/apt,30,3,0.12,31,332,150
24886110,6762900,Bronx,Highbridge,40.83088,-73.92779,Entire home/apt,2,40,2.84,1,248,103
11575101,61175876,Brooklyn,Bushwick,40.69549,-73.92249,Entire home/apt,4,97,2.42,2,250,79
34126672,161061302,Manhattan,Upper West Side,40.80244,-73.96592,Shared room,1,1,0.48,2,363,50
14756273,68276808,Queens,Ditmars Steinway,40.77392,-73.91678,Private room,2,10,0.46,1,0,50
27312214,205777414,Manhattan,West Village,40.73858,-74.00619,Entire home/apt,4,1,0.1,1,232,199
35874530,146636596,Brooklyn,Greenpoint,40.72845,-73.95791,Entire home/apt,2,1,1.0,1,24,300
9028589,47129484,Manhattan,Gramercy,40.73744,-73.98413000000001,Entire home/apt,3,175,3.89,1,132,305
13031826,18933388,Brooklyn,Crown Heights,40.67661,-73.95611,Entire home/apt,1,5,0.13,1,0,225
1656585,1147345,Manhattan,Greenwich Village,40.72866,-74.00095,Entire home/apt,3,25,0.36,1,80,226
3200522,1369577,Brooklyn,Crown Heights,40.67499,-73.92426999999999,Entire home/apt,5,175,2.86,2,56,120
27225719,179745489,Queens,Elmhurst,40.73088,-73.87488,Entire home/apt,2,47,4.18,1,315,125
32835357,247013511,Queens,Jackson Heights,40.75298,-73.87675,Private room,2,8,2.42,6,75,40
16739146,2988712,Bronx,Fordham,40.85318,-73.90204,Entire home/apt,90,10,0.41,7,310,71
5534192,28696923,Manhattan,Washington Heights,40.84347,-73.93406,Entire home/apt,1,8,0.23,1,0,99
51485,236655,Manhattan,Lower East Side,40.72319,-73.99201,Private room,1,285,2.69,1,7,83
25455908,57516611,Manhattan,Upper West Side,40.80109,-73.96523,Private room,2,14,1.06,1,8,99
30998033,231503052,Brooklyn,Sheepshead Bay,40.6001,-73.94974,Entire home/apt,3,16,2.57,1,129,199
14529806,4548229,Manhattan,Harlem,40.80637,-73.94544,Private room,30,84,2.43,4,337,149
2385344,179296,Brooklyn,Greenpoint,40.733340000000005,-73.95478,Entire home/apt,3,74,1.17,1,364,500
825545,872805,Manhattan,Greenwich Village,40.73336,-73.99835999999999,Private room,21,79,1.04,2,34,120
22631779,44782054,Queens,Ditmars Steinway,40.77317,-73.91508,Private room,2,58,3.81,1,9,55
2531865,4517005,Manhattan,Kips Bay,40.73905,-73.98161,Entire home/apt,1,32,0.5,1,0,210
28245313,17893196,Manhattan,Harlem,40.8238,-73.94794,Entire home/apt,2,5,0.57,1,5,145
4932075,5037211,Brooklyn,Greenpoint,40.72023,-73.9479,Private room,3,1,0.02,2,188,118
35691215,5028297,Brooklyn,Fort Greene,40.69416,-73.9809,Private room,2,1,1.0,1,327,159
25475518,192276715,Manhattan,East Harlem,40.78703,-73.94740999999999,Entire home/apt,4,44,3.41,1,38,115
6300424,19575935,Brooklyn,Greenpoint,40.72469,-73.95099,Private room,1,2,0.05,1,0,80
24607535,183623716,Queens,Long Island City,40.74664,-73.95039,Private room,1,10,0.71,1,365,85
7024303,2750745,Brooklyn,Bedford-Stuyvesant,40.69039,-73.95947,Entire home/apt,2,4,0.08,1,0,120
32586373,244906527,Brooklyn,Williamsburg,40.71586,-73.9391,Entire home/apt,2,15,3.52,1,292,120
320865,1643782,Manhattan,Harlem,40.8076,-73.94433000000001,Entire home/apt,30,25,0.28,1,249,135
35192077,201074848,Manhattan,East Village,40.72702,-73.9798,Entire home/apt,4,2,2.0,1,0,165
12999167,19726948,Manhattan,Lower East Side,40.72151,-73.98814,Entire home/apt,2,145,4.81,1,193,158
6678082,34371968,Brooklyn,Bedford-Stuyvesant,40.68207,-73.93279,Entire home/apt,4,70,1.54,1,293,150
29132728,83907534,Manhattan,Kips Bay,40.74228,-73.97601,Entire home/apt,7,5,0.66,1,32,175
28836976,174197082,Queens,Rosedale,40.65644,-73.72816999999999,Entire home/apt,1,9,1.79,2,116,80
23262857,60281397,Manhattan,Upper West Side,40.79701,-73.96933,Private room,1,27,1.69,3,190,93
1961361,10134825,Manhattan,Lower East Side,40.71286,-73.98437,Private room,2,6,0.13,4,0,102
20758217,6394738,Brooklyn,Bushwick,40.705740000000006,-73.92289,Private room,1,14,0.62,2,0,85
272738,1427381,Brooklyn,Williamsburg,40.70513,-73.95505,Private room,2,35,0.38,2,161,60
2236458,11418277,Queens,Astoria,40.76437,-73.9195,Entire home/apt,4,2,0.03,1,0,65
60948,126607,Manhattan,East Harlem,40.80942,-73.93936,Entire home/apt,3,135,1.3,3,192,140
29727132,44358422,Brooklyn,Flatbush,40.63919,-73.95219,Private room,1,2,0.27,1,238,38
32587918,211549023,Manhattan,Midtown,40.74766,-73.9868,Entire home/apt,2,2,1.13,13,259,260
4772987,24597265,Queens,Ditmars Steinway,40.77183,-73.90973000000001,Private room,6,17,0.34,8,365,50
6902855,36176332,Brooklyn,Flatbush,40.65146,-73.96634,Entire home/apt,5,19,0.39,1,1,120
30819021,41955015,Manhattan,Murray Hill,40.74719,-73.97478000000001,Entire home/apt,1,2,0.32,1,0,150
15455678,48909179,Manhattan,Harlem,40.82834,-73.9496,Private room,2,55,1.68,1,26,49
12755571,69384130,Manhattan,Midtown,40.75227,-73.97351,Entire home/apt,1,1,0.03,1,0,143
26165195,396599,Brooklyn,Bushwick,40.69966,-73.92295,Private room,1,65,5.27,2,52,40
26987854,24000784,Brooklyn,Sunset Park,40.64456,-74.01135,Private room,1,6,0.61,4,32,45
14446960,88960729,Queens,Woodside,40.74321,-73.89988000000001,Entire home/apt,3,169,4.8,1,302,199
25616250,125396920,Brooklyn,Flatbush,40.64314,-73.95705,Entire home/apt,3,10,0.84,1,0,75
31286946,88484548,Queens,Queens Village,40.70685,-73.73583,Private room,2,1,0.18,1,0,70
4060446,21060554,Manhattan,Inwood,40.87279,-73.91991,Entire home/apt,5,61,1.06,1,1,99
14499123,89523770,Queens,Woodside,40.75328,-73.90855,Entire home/apt,2,73,2.14,1,228,300
1097816,1709216,Brooklyn,East Flatbush,40.63612,-73.946,Entire home/apt,2,19,0.31,4,328,325
13314206,2383846,Manhattan,Washington Heights,40.83945,-73.94353000000001,Entire home/apt,14,5,0.14,1,0,110
34274062,133465194,Brooklyn,Williamsburg,40.71925,-73.94293,Entire home/apt,7,1,0.57,1,0,94
796490,4107826,Brooklyn,South Slope,40.66882,-73.98841,Private room,5,5,0.14,1,0,65
5729118,12020405,Manhattan,Upper West Side,40.77556,-73.98416,Entire home/apt,4,38,0.74,1,222,244
34184923,258057196,Manhattan,Murray Hill,40.74624,-73.9725,Entire home/apt,1,8,4.44,1,93,299
26946208,21146326,Manhattan,Chinatown,40.717940000000006,-73.99686,Private room,3,4,0.4,2,0,75
18048473,42093468,Bronx,Mott Haven,40.81217,-73.91776999999999,Private room,5,21,0.78,4,334,41
35079670,9524788,Manhattan,East Harlem,40.80619,-73.94174,Entire home/apt,2,1,1.0,1,1,125
20881375,104300362,Queens,East Elmhurst,40.75596,-73.89702,Private room,4,17,0.79,1,314,45
23729711,3734637,Manhattan,East Harlem,40.79068,-73.94461,Private room,1,15,0.94,3,0,30
3819703,16098958,Manhattan,Upper West Side,40.79082,-73.97452,Entire home/apt,30,4,0.09,96,342,140
14608127,90646927,Manhattan,Kips Bay,40.74496,-73.97867,Private room,2,11,2.02,1,20,100
14699186,31483654,Brooklyn,Kensington,40.64535,-73.9738,Entire home/apt,3,2,0.06,1,0,100
17717593,7854459,Brooklyn,DUMBO,40.70208,-73.98568,Entire home/apt,2,1,0.07,1,88,225
28751660,84720132,Manhattan,Hell's Kitchen,40.76591,-73.99493000000001,Entire home/apt,4,4,0.44,1,5,300
20306217,133810925,Queens,Rosedale,40.66458,-73.73464,Private room,1,144,6.21,3,0,62
14608350,45986534,Queens,Astoria,40.76792,-73.91190999999999,Private room,4,23,0.73,1,30,40
9809784,3976298,Brooklyn,Prospect Heights,40.67815,-73.96823,Entire home/apt,5,1,0.02,1,89,995
20926888,11638358,Brooklyn,Bedford-Stuyvesant,40.69031,-73.93903,Entire home/apt,5,23,1.25,2,171,370
1083888,5959653,Brooklyn,Bedford-Stuyvesant,40.68532,-73.92429,Private room,1,14,0.2,2,283,80
10630048,9273561,Manhattan,East Harlem,40.79013,-73.94473,Private room,2,21,0.5,1,0,75
11948586,63800453,Brooklyn,Flatbush,40.63836,-73.95698,Private room,1,6,0.16,1,0,85
34865230,3415882,Brooklyn,Brooklyn Heights,40.69015,-73.99271,Entire home/apt,5,2,2.0,1,10,150
23376196,3806282,Brooklyn,Bedford-Stuyvesant,40.68475,-73.92896999999999,Entire home/apt,2,39,2.41,1,90,115
20624666,17090405,Brooklyn,Crown Heights,40.67502,-73.95732,Entire home/apt,1,2,0.09,1,0,100
36133,142684,Brooklyn,Williamsburg,40.71536,-73.96056999999999,Private room,3,155,1.61,1,1,125
15620833,95623010,Manhattan,Upper West Side,40.7762,-73.97944,Entire home/apt,2,145,4.59,1,215,185
18309354,55778523,Manhattan,Morningside Heights,40.80456,-73.96521,Private room,1,4,0.15,1,0,125
30064378,148298029,Queens,Astoria,40.76529,-73.91136999999999,Entire home/apt,5,1,0.16,1,0,103
29320258,89339003,Brooklyn,Bushwick,40.7027,-73.91429000000001,Private room,5,1,0.21,1,53,70
9966717,51216049,Brooklyn,Crown Heights,40.67758,-73.93547,Private room,1,2,0.05,1,0,49
32961822,248064547,Manhattan,Upper East Side,40.7776,-73.94634,Entire home/apt,1,12,3.03,1,75,165
22483776,55197894,Queens,Woodside,40.74907,-73.90083,Private room,5,7,0.38,1,0,30
666613,3370705,Brooklyn,Williamsburg,40.71112,-73.96338,Entire home/apt,4,78,1.26,1,65,199
30792215,192754619,Manhattan,Hell's Kitchen,40.75568,-73.99661,Private room,1,1,0.16,1,189,159
13237057,74179880,Brooklyn,East New York,40.67323,-73.8892,Private room,3,71,1.9,8,329,39
11407817,9290968,Queens,Astoria,40.77349,-73.92648,Entire home/apt,1,2,0.07,1,0,112
26593733,33055418,Manhattan,Midtown,40.74573,-73.98323,Private room,3,6,0.55,1,70,90
19073637,16006197,Brooklyn,South Slope,40.66744,-73.98798000000001,Private room,2,50,1.98,1,86,80
7973484,17770287,Manhattan,Upper East Side,40.76769,-73.95236,Entire home/apt,30,12,0.27,14,239,115
22307248,18146050,Brooklyn,Bedford-Stuyvesant,40.68029,-73.94693000000001,Entire home/apt,4,5,0.27,1,0,38
16368233,6153409,Brooklyn,Bedford-Stuyvesant,40.68635,-73.95535,Private room,15,3,0.1,1,0,45
22339165,922478,Brooklyn,Clinton Hill,40.68232,-73.96043,Shared room,4,15,0.81,2,0,50
19455149,136431007,Manhattan,Chelsea,40.74944,-73.99774000000001,Private room,1,40,1.63,1,43,49
16414567,18483938,Manhattan,Upper East Side,40.77149,-73.95121,Entire home/apt,8,1,0.03,1,0,180
16469710,108078909,Manhattan,Upper East Side,40.77174,-73.95703,Private room,1,7,0.23,1,0,113
13272041,4920111,Manhattan,Midtown,40.75242,-73.97261,Private room,1,4,0.11,1,0,100
6051044,16139880,Brooklyn,Bedford-Stuyvesant,40.67815,-73.91518,Private room,3,101,2.01,6,180,40
9551417,49349133,Manhattan,East Harlem,40.79665,-73.94824,Entire home/apt,2,31,0.7,1,160,225
276216,1440691,Brooklyn,Sunset Park,40.65992,-73.99042,Entire home/apt,180,1,0.03,1,365,127
32186945,25043035,Manhattan,Midtown,40.76638,-73.98311,Private room,1,4,0.85,1,0,100
282341,1471384,Brooklyn,Kensington,40.6433,-73.97386,Entire home/apt,30,3,0.05,1,286,90
6361102,16139880,Brooklyn,Bedford-Stuyvesant,40.67682,-73.91597,Private room,3,102,2.02,6,364,50
33900104,253071059,Manhattan,East Harlem,40.78995,-73.94603000000001,Private room,1,7,2.56,1,0,100
31090684,23074465,Brooklyn,Bushwick,40.70304,-73.91694,Private room,1,21,3.35,3,78,60
15984590,102466916,Manhattan,Harlem,40.80778,-73.94345,Private room,30,6,0.25,6,164,45
19068247,23991242,Brooklyn,Bushwick,40.68748,-73.90751,Entire home/apt,2,1,1.0,1,99,100
1524302,7503643,Brooklyn,Greenpoint,40.72686,-73.94176999999999,Entire home/apt,30,7,0.11,52,281,149
24140119,181885526,Queens,South Ozone Park,40.67344,-73.82096,Private room,1,91,5.95,1,90,69
20957575,52768036,Manhattan,East Village,40.72793,-73.98876,Private room,1,44,2.01,1,19,85
17963856,24010376,Manhattan,Inwood,40.86517,-73.92318,Private room,1,1,0.05,1,0,65
9856683,3709185,Manhattan,Inwood,40.87045,-73.91765,Entire home/apt,5,4,0.09,1,0,90
10134285,566660,Manhattan,Chinatown,40.71615,-73.99539,Private room,1,42,0.98,1,0,99
9334228,1423321,Manhattan,East Village,40.72695,-73.99011999999999,Entire home/apt,7,1,0.02,1,0,70
644575,15523,Staten Island,Tompkinsville,40.63358,-74.0833,Private room,2,23,0.33,2,352,71
5593975,29005043,Brooklyn,Bedford-Stuyvesant,40.67861,-73.9453,Private room,14,7,0.15,1,179,125
9926520,432318,Brooklyn,Kensington,40.644,-73.98091,Entire home/apt,7,3,0.14,1,0,85
27598172,19000768,Queens,Sunnyside,40.74194,-73.92353,Entire home/apt,2,6,0.54,2,0,79
31711813,44093954,Queens,Whitestone,40.78236,-73.82092,Entire home/apt,1,9,1.64,1,204,140
6356366,33113275,Manhattan,East Village,40.72872,-73.98043,Entire home/apt,3,3,0.06,1,0,249
21751275,27551651,Manhattan,SoHo,40.72591,-74.00395999999999,Entire home/apt,2,9,0.49,1,6,225
16362150,5659683,Brooklyn,Crown Heights,40.677690000000005,-73.95309,Entire home/apt,3,5,0.17,1,8,100
23838063,149073048,Brooklyn,Bushwick,40.69837,-73.93045,Private room,5,34,2.31,1,102,67
16648338,110026778,Brooklyn,Williamsburg,40.70981,-73.96781,Private room,4,18,0.59,1,0,119
13093381,22541573,Manhattan,Chelsea,40.74651,-74.00563000000001,Entire home/apt,30,1,0.04,87,340,219
21605900,6690551,Manhattan,Washington Heights,40.8556,-73.93245,Private room,4,67,3.61,1,2,35
25543561,133596333,Manhattan,Kips Bay,40.74383,-73.97798,Entire home/apt,3,11,0.82,1,55,499
12342297,19953913,Manhattan,Hell's Kitchen,40.76116,-73.99016,Private room,2,17,0.43,1,0,120
1778294,367815,Brooklyn,Bedford-Stuyvesant,40.68931,-73.95548000000001,Entire home/apt,7,39,0.91,2,50,120
164989,69439,Manhattan,SoHo,40.72351,-73.99683,Private room,2,54,0.56,1,221,140
343971,10609846,Manhattan,Harlem,40.83177,-73.95,Private room,1,56,0.64,1,365,89
29563829,7878911,Brooklyn,Flatbush,40.63635,-73.95501999999999,Private room,3,5,0.59,1,0,90
29181281,145981682,Manhattan,Theater District,40.75982,-73.98418000000001,Private room,1,12,1.4,3,213,999
30512146,21296382,Manhattan,Upper East Side,40.76703,-73.95957,Entire home/apt,3,3,0.46,1,188,200
18179365,51501835,Manhattan,Hell's Kitchen,40.76318,-73.99462,Entire home/apt,30,1,0.04,31,350,200
28187614,212899703,Queens,Jamaica,40.67956,-73.76621,Entire home/apt,3,29,2.82,3,48,83
11459084,20175896,Manhattan,Lower East Side,40.72132,-73.98369,Private room,3,26,0.64,1,0,110
587554,2897329,Manhattan,West Village,40.73041,-74.00326,Entire home/apt,7,34,0.41,1,217,200
31983211,4499538,Manhattan,Harlem,40.80902,-73.94185999999999,Entire home/apt,4,6,1.33,1,0,175
777297,3419446,Brooklyn,Williamsburg,40.71606,-73.95527,Entire home/apt,2,72,0.95,1,52,200
18223667,15069930,Manhattan,Upper East Side,40.78164,-73.95873,Entire home/apt,14,1,0.04,1,180,490
30932555,231144414,Manhattan,Hell's Kitchen,40.76326,-73.98581999999999,Entire home/apt,2,17,4.77,1,229,179
29152899,9770822,Brooklyn,Williamsburg,40.71233,-73.93781,Private room,3,13,1.55,1,36,55
22356352,76835453,Brooklyn,Bushwick,40.69492,-73.91826,Entire home/apt,1,2,0.11,1,0,70
34812124,131103134,Manhattan,Upper East Side,40.77388,-73.9568,Entire home/apt,3,2,1.67,1,235,217
28010779,46842591,Manhattan,Midtown,40.744040000000005,-73.98263,Entire home/apt,5,5,0.51,2,179,250
15997880,103981529,Queens,Long Island City,40.76184,-73.92839000000001,Entire home/apt,3,9,0.29,1,0,76
31861671,238750007,Manhattan,Harlem,40.82163,-73.94757,Entire home/apt,4,17,3.09,3,265,145
15561163,100202479,Brooklyn,Bedford-Stuyvesant,40.68642,-73.92864,Entire home/apt,3,86,3.02,1,25,100
27899019,23120620,Queens,Flushing,40.73821,-73.81006,Private room,1,7,0.73,5,90,64
